active,propertyId,propertyName,propertyURI,fhsId,propertyRating,ratingObject,propertyHeadline,media,city,stateProvinceName,stateAbbreviation,country,destinationId,destinationName,destinationURI,accolade,accoladeUri,accoladeIconUri,location,propertyType,regionId,secondaryRegion,newlyRated,sortName,lat,ratingDisplay,propertyFriendlyName,locationDisplay,long
True,dubai-united-arab-emirates/address-beach-resort-fujairah,Address Beach Resort Fujairah,/hotels/dubai-united-arab-emirates/address-beach-resort-fujairah,7889,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",The UAE’s adventurous escape ,,Fujairah,,,United Arab Emirates,dubai-united-arab-emirates,Dubai,/destinations/dubai-united-arab-emirates,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,United Arab Emirates,True,address beach resort fujairah,,Recommended,Address Beach Resort Fujairah,"Fujairah, United Arab Emirates",
True,dubai-united-arab-emirates/address-downtown,Address Downtown,/hotels/dubai-united-arab-emirates/address-downtown,7897,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A downtown spot with incredible Burj Khalifa views ,,Dubai,,,United Arab Emirates,dubai-united-arab-emirates,Dubai,/destinations/dubai-united-arab-emirates,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,United Arab Emirates,True,address downtown,,4-Star Rated,Address Downtown,"Dubai, United Arab Emirates",
True,dubai-united-arab-emirates/address-dubai-mall,Address Dubai Mall,/hotels/dubai-united-arab-emirates/address-dubai-mall,7896,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Stay close to Dubai’s biggest attractions ,,Dubai ,,,United Arab Emirates,dubai-united-arab-emirates,Dubai,/destinations/dubai-united-arab-emirates,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,United Arab Emirates,True,address dubai mall,,4-Star Rated,Address Dubai Mall,"Dubai , United Arab Emirates",
True,dubai-united-arab-emirates/address-grand-creek-harbour,Address Grand Creek Harbour,/hotels/dubai-united-arab-emirates/address-grand-creek-harbour,7968,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",A sleek Dubai Creek retreat,,Dubai,,,United Arab Emirates,dubai-united-arab-emirates,Dubai,/destinations/dubai-united-arab-emirates,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,United Arab Emirates,True,address grand creek harbour,,Recommended,Address Grand Creek Harbour,"Dubai, United Arab Emirates",
True,istanbul-turkey/address-istanbul,Address Istanbul,/hotels/istanbul-turkey/address-istanbul,7943,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",A contemporary Istanbul high-rise,,Istanbul,,,Turkey,istanbul-turkey,Istanbul,/destinations/istanbul-turkey,,,,"[None, None]",HOTEL,europe,Turkey,True,address istanbul,,5-Star Rated,Address Istanbul,"Istanbul, Turkey",
True,dubai-united-arab-emirates/address-sky-view,Address Sky View,/hotels/dubai-united-arab-emirates/address-sky-view,7936,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",Unparalleled Dubai views,,Dubai,,,United Arab Emirates,dubai-united-arab-emirates,Dubai,/destinations/dubai-united-arab-emirates,,,,"[None, None]",HOTEL,middle-east-amp-north-africa,United Arab Emirates,True,address sky view,,Recommended,Address Sky View,"Dubai, United Arab Emirates",
True,the-adirondacks-new-york/the-adelphi-hotel,The Adelphi Hotel,/hotels/the-adirondacks-new-york/the-adelphi-hotel,4602,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",A refreshed Victorian classic,,Saratoga Springs,New York,NY,United States (NY),the-adirondacks-new-york,The Adirondacks,/destinations/the-adirondacks-new-york,,,,"[None, None]",HOTEL,united-states,New York,False,adelphi hotel,,Recommended,The Adelphi Hotel,"Saratoga Springs, United States (NY)",
True,dallas-texas/the-adolphus-hotel,"The Adolphus, Autograph Collection",/hotels/dallas-texas/the-adolphus-autograph-collection,5167,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",A refreshed Dallas icon ,,Dallas,Texas,TX,United States (TX),dallas-texas,Dallas,/destinations/dallas-texas,,,,"[None, None]",HOTEL,united-states,Texas,False,adolphus autograph collection,,Recommended,"The Adolphus, Autograph Collection","Dallas, United States (TX)",
True,palm-springs-california/agua-caliente-casino-resort-spa,Agua Caliente Resort Casino Spa Rancho Mirage,/hotels/palm-springs-california/agua-caliente-resort-casino-spa-rancho-mirage,3936,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A desert gem in Greater Palm Springs,,Rancho Mirage,California,CA,United States (CA),palm-springs-california,Palm Springs,/destinations/palm-springs-california,,,,"[None, None]",HOTEL,united-states,California,False,agucaliente resort casino spa rancho mirage,,4-Star Rated,Agua Caliente Resort Casino Spa Rancho Mirage,"Rancho Mirage, United States (CA)",
True,venice-italy/ai-reali-hotel,Ai Reali di Venezia,/hotels/venice-italy/ai-reali-di-venezia,3685,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",An intimate palace hotel in Venice,,Venice,,,Italy,venice-italy,Venice,/destinations/venice-italy,,,,"[None, None]",HOTEL,europe,Italy,False,ai reali di venezia,,Recommended,Ai Reali di Venezia,"Venice, Italy",
True,paris-france/airelles-chateau-de-versailles-le-grand-controle,"Airelles Château de Versailles, Le Grand Contrôle",/hotels/paris-france/airelles-chateau-de-versailles-le-grand-controle,8121,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A regal stay in the heart of Versailles,,Versailles,,,France,paris-france,Paris,/destinations/paris-france,,,,"[None, None]",HOTEL,europe,France,True,airelles chateau de versailles le grand controle,,4-Star Rated,"Airelles Chateau de Versailles, Le Grand Controle","Versailles, France",
True,courchevel/airelles-courchevel-les-airelles,"Airelles Courchevel, Les Airelles",/hotels/the-alps-switzerland/airelles-courchevel-les-airelles,6755,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",A cozy-chic French winter palace ,,Courchevel,,,France,the-alps,The Alps,/destinations/the-alps-switzerland,,,,"[None, None]",HOTEL,europe,Switzerland,False,airelles courchevel les airelles,,5-Star Rated,"Airelles Courchevel, Les Airelles","Courchevel, France",
True,french-riviera-france/airelles-gordes-la-bastide,"Airelles Gordes, La Bastide",/hotels/french-riviera-france/airelles-gordes-la-bastide,6815,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",A hilltop hideaway with Provençal charm,,Gordes,,,France,french-riviera-france,French Riviera,/destinations/french-riviera-france,,,,"[None, None]",HOTEL,europe,France,False,airelles gordes lbastide,,5-Star Rated,"Airelles Gordes, La Bastide","Gordes, France",
True,french-riviera-france/chateau-de-la-messardiere,"Airelles Saint-Tropez, Château de la Messardière",/hotels/french-riviera-france/airelles-saint-tropez-chateau-de-la-messardiere,3579,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",St. Tropez’s fairytale find,,French Riviera,,,France,french-riviera-france,French Riviera,/destinations/french-riviera-france,,,,"[None, None]",HOTEL,europe,France,False,airelles sainttropez chateau de lmessardiere,,4-Star Rated,"Airelles Saint-Tropez, Chateau de la Messardiere","French Riviera, France",
True,prague-czech-republic/alchymist-grand-hotel-spa,Alchymist Grand Hotel & Spa,/hotels/prague-czech-republic/alchymist-grand-hotel-spa,4588,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",Italian flair in Prague’s Old Town ,,Prague,,,Czech Republic,prague-czech-republic,Prague,/destinations/prague-czech-republic,,,,"[None, None]",HOTEL,europe,Czech Republic,False,alchymist grand hotel  spa,,Recommended,Alchymist Grand Hotel & Spa,"Prague, Czech Republic",
True,napa-california/alila-napa-valley,Alila Napa Valley,/hotels/napa-california/alila-napa-valley,7679,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Wine country luxury with vineyard views,,St. Helena,California,CA,United States (CA),napa-california,Napa,/destinations/napa-california,,,,"[None, None]",HOTEL,united-states,California,False,alilnapa valley,,4-Star Rated,Alila Napa Valley,"St. Helena, United States (CA)",
True,monterey-carmel-big-sur-california/alila-ventana-big-sur,Alila Ventana Big Sur,/hotels/monterey-carmel-big-sur-california/alila-ventana-big-sur,7649,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",California’s homage to natural luxuriousness ,,Big Sur,California,CA,United States (CA),monterey-carmel-big-sur-california,"Monterey, Carmel and Big Sur",/destinations/monterey-carmel-big-sur-california,,,,"[None, None]",HOTEL,united-states,California,True,alilventana big sur,,4-Star Rated,Alila Ventana Big Sur,"Big Sur, United States (CA)",
True,bali-indonesia/alila-villas-uluwatu-bali,Alila Villas Uluwatu,/hotels/bali-indonesia/alila-villas-uluwatu,3687,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Striking eco-luxury in Bali,,Bali,,,Indonesia,bali-indonesia,Bali,/destinations/bali-indonesia,,,,"[None, None]",HOTEL,asia-pacific,Indonesia,False,alilvillas uluwatu,,4-Star Rated,Alila Villas Uluwatu,"Bali, Indonesia",
True,willamette-valley-oregon-oregon/the-allison-inn-spa,The Allison Inn & Spa,/hotels/willamette-valley-oregon-oregon/the-allison-inn-spa,1177,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A luxe Willamette Valley hotel,,Newberg,Oregon,OR,United States (OR),willamette-valley-oregon-oregon,"Willamette Valley, Oregon",/destinations/willamette-valley-oregon-oregon,,,,"[None, None]",HOTEL,united-states,Oregon,False,allison inn  spa,,4-Star Rated,The Allison Inn & Spa,"Newberg, United States (OR)",
True,swiss-alps/the-alpina-gstaad,The Alpina Gstaad,/hotels/the-alps-switzerland/the-alpina-gstaad,5257,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",Contemporary alpine high style,,Gstaad,,,Switzerland,the-alps,The Alps,/destinations/the-alps-switzerland,One of the Best Rooms of 2019,/collections/2019-worlds-best-rooms,,"[None, None]",HOTEL,europe,Switzerland,False,alpina gstaad,,5-Star Rated,The Alpina Gstaad,"Gstaad, Switzerland",
True,macau-china/altira-macau,Altira Macau,/hotels/macau-china/altira-macau,619,FIVE_STAR,"{'id': 'FIVE_STAR', 'display': '5-Star Rated', 'abbreviation': '5', 'ratingValue': '5', 'sequence': 1, 'isRated': True, 'archived': False, 'active': True}",A glimmering Macau retreat,,Macau,,,China,macau-china,Macau,/destinations/macau-china,,,,"[None, None]",HOTEL,asia-pacific,China,False,altirmacau,,5-Star Rated,Altira Macau,"Macau, China",
True,lisbon-portugal/altis-avenida-hotel,Altis Avenida Hotel,/hotels/lisbon-portugal/altis-avenida-hotel,4612,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",Sophisticated throwback style in Lisbon,,Lisbon,,,Portugal,lisbon-portugal,Lisbon,/destinations/lisbon-portugal,,,,"[None, None]",HOTEL,europe,Portugal,False,altis avenidhotel,,Recommended,Altis Avenida Hotel,"Lisbon, Portugal",
True,buenos-aires-argentina/alvear-palace-hotel,Alvear Palace Hotel,/hotels/buenos-aires-argentina/alvear-palace-hotel,2231,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A European-flavored hotel in Buenos Aires,,Buenos Aires,,,Argentina,buenos-aires-argentina,Buenos Aires,/destinations/buenos-aires-argentina,,,,"[None, None]",HOTEL,central-amp-south-america,Argentina,False,alvear palace hotel,,4-Star Rated,Alvear Palace Hotel,"Buenos Aires, Argentina",
True,beijing-china/aman-at-summer-palace,Aman Summer Palace,/hotels/beijing-china/aman-summer-palace,634,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Beijing's picturesque garden estate,,Beijing,,,China,beijing-china,Beijing,/destinations/beijing-china,,,,"[None, None]",HOTEL,asia-pacific,China,False,aman summer palace,,4-Star Rated,Aman Summer Palace,"Beijing, China",
True,tokyo-japan/aman-tokyo,Aman Tokyo,/hotels/tokyo-japan/aman-tokyo,2629,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A hidden urban sanctuary in Tokyo,,Tokyo,,,Japan,tokyo-japan,Tokyo,/destinations/tokyo-japan,,,,"[None, None]",HOTEL,asia-pacific,Japan,False,aman tokyo,,4-Star Rated,Aman Tokyo,"Tokyo, Japan",
True,venice-italy/aman-venice,Aman Venice,/hotels/venice-italy/aman-venice,4919,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",An island of peace on the Grand Canal,,Venice,,,Italy,venice-italy,Venice,/destinations/venice-italy,,,,"[None, None]",HOTEL,europe,Italy,False,aman venice,,4-Star Rated,Aman Venice,"Venice, Italy",
True,bali-indonesia/amandari,Amandari,/hotels/bali-indonesia/amandari,3775,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}","A lush, luxurious Bali getaway near Ubud",,Bali,,,Indonesia,bali-indonesia,Bali,/destinations/bali-indonesia,,,,"[None, None]",HOTEL,asia-pacific,Indonesia,False,amandari,,Recommended,Amandari,"Bali, Indonesia",
True,dominican-republic-dominican-republic/amanera,Amanera,/hotels/dominican-republic-caribbean/amanera,3785,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A clifftop retreat in the Dominican Republic,,Rio San Juan,,,Dominican Republic,dominican-republic-dominican-republic,Dominican Republic,/destinations/dominican-republic-caribbean,,,,"[None, None]",HOTEL,caribbean-mexico-amp-mexico,Caribbean,False,amanera,,4-Star Rated,Amanera,"Rio San Juan, Dominican Republic",
True,hangzhou-china/amanfayun,Amanfayun,/hotels/hangzhou-china/amanfayun,2711,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A luxe Hangzhou haven from another era,,Hangzhou,,,China,hangzhou-china,Hangzhou,/destinations/hangzhou-china,,,,"[None, None]",HOTEL,asia-pacific,China,False,amanfayun,,4-Star Rated,Amanfayun,"Hangzhou, China",
True,jackson-hole-wyoming/amangani,Amangani,/hotels/jackson-hole-wyoming/amangani,3,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",A touch of the Far East in Jackson Hole,,Jackson,Wyoming,WY,United States (WY),jackson-hole-wyoming,Jackson Hole,/destinations/jackson-hole-wyoming,,,,"[None, None]",HOTEL,united-states,Wyoming,False,amangani,,4-Star Rated,Amangani,"Jackson, United States (WY)",
True,canyon-point-utah/amangiri,Amangiri,/hotels/canyon-point-utah/amangiri,733,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Utah's hidden desert paradise,,Canyon Point,Utah,UT,United States (UT),canyon-point-utah,Canyon Point,/destinations/canyon-point-utah,,,,"[None, None]",HOTEL,united-states,Utah,False,amangiri,,4-Star Rated,Amangiri,"Canyon Point, United States (UT)",
True,marrakech-morocco/amanjena,Amanjena,/hotels/marrakech-morocco/amanjena,4762,RECOMMENDED,"{'id': 'RECOMMENDED', 'display': 'Recommended', 'abbreviation': 'R', 'ratingValue': '', 'sequence': 3, 'isRated': True, 'archived': False, 'active': True}",Morocco's peaceful paradise,,Marrakech,,,Morocco,marrakech-morocco,Marrakech,/destinations/marrakech-morocco,,,,"[None, None]",HOTEL,south-africa,Morocco,False,amanjena,,Recommended,Amanjena,"Marrakech, Morocco",
True,bali-indonesia/amankila,Amankila,/hotels/bali-indonesia/amankila,3777,FOUR_STAR,"{'id': 'FOUR_STAR', 'display': '4-Star Rated', 'abbreviation': '4', 'ratingValue': '4', 'sequence': 2, 'isRated': True, 'archived': False, 'active': True}",Secluded paradise on Bali's hidden coast,,Bali,,,Indonesia,bali-indonesia,Bali,/destinations/bali-indonesia,,,,"[None, None]",HOTEL,asia-pacific,Indonesia,False,amankila,,4-Star Rated,Amankila,"Bali, Indonesia",
